hour,min,sec,ra,deg,arcmin,arcsec,dec,f100,f60,ratio,Temp,planck,Mass
4,2,2.81,60.51170833,-73,40,47.2,-73.67977778,5.6222,0.2375,0.04224325,16.78779873,7.51816E-17,2.95191E+25
4,1,40.9,60.42041667,-73,40,56.8,-73.68244444,5.5623,0.2552,0.045880301,17.03381778,8.50929E-17,2.5803E+25
4,1,19.88,60.33283333,-73,41,8.9,-73.68580556,5.4989,0.2786,0.050664678,17.33899083,9.87387E-17,2.19835E+25
4,0,57.76,60.24066667,-73,41,23.4,-73.68983333,5.4682,0.2683,0.049065506,17.23912802,9.41026E-17,2.29378E+25
4,0,38.59,60.16079167,-73,41,32.2,-73.69227778,5.6328,0.3213,0.057040903,17.71834001,1.17946E-16,1.88517E+25
4,2,38.6,60.66083333,-73,38,52.8,-73.648,5.256,0.1603,0.030498478,15.88297787,4.61306E-17,4.49754E+25
4,2,19.36,60.58066667,-73,38,59,-73.64972222,5.3808,0.2028,0.037689563,16.45949368,6.33635E-17,3.3521E+25
4,2,0.11,60.50045833,-73,39,5,-73.65138889,5.469,0.2689,0.049168038,17.24559278,9.43976E-17,2.28694E+25
4,1,39.86,60.41608333,-73,39,25.1,-73.65697222,5.48,0.2739,0.049981752,17.29659477,9.67498E-17,2.23583E+25
4,1,15.97,60.31654167,-73,39,34.4,-73.65955556,5.4403,0.2815,0.05174347,17.40522488,1.01908E-16,2.10729E+25
4,0,55.89,60.232875,-73,39,49.1,-73.66363889,5.4395,0.2829,0.052008457,17.42135915,1.02692E-16,2.0909E+25
4,0,38.62,60.16091667,-73,39,54.9,-73.66525,5.5895,0.3452,0.061758655,17.98207656,1.32873E-16,1.66053E+25
4,1,56.25,60.484375,-73,37,42.2,-73.62838889,5.2997,0.2465,0.046512067,17.0752525,8.68558E-17,2.40858E+25
4,1,36.02,60.40008333,-73,38,2.3,-73.63397222,5.4434,0.2368,0.043502223,16.87445875,7.8566E-17,2.73492E+25
4,1,14.02,60.30841667,-73,38,8.5,-73.63569444,5.4981,0.2188,0.039795566,16.6143778,6.87454E-17,3.15702E+25
4,0,55.69,60.23204167,-73,38,16.9,-73.63802778,5.5419,0.3292,0.05940201,17.8519781,1.25342E-16,1.7453E+25
4,0,34.59,60.144125,-73,38,25.5,-73.64041667,5.697,0.3384,0.059399684,17.8518481,1.25335E-16,1.79425E+25
4,1,30.02,60.37508333,-73,36,16,-73.60444444,5.3875,0.2107,0.039109049,16.56449156,6.6975E-17,3.17529E+25
4,1,9.77,60.29070833,-73,36,44.3,-73.61230556,5.4615,0.2548,0.04665385,17.08450152,8.72531E-17,2.47081E+25
4,0,52.56,60.219,-73,36,50.2,-73.61394444,5.4879,0.2914,0.053098635,17.4871919,1.05936E-16,2.04489E+25
4,0,28.79,60.11995833,-73,37,10.8,-73.61966667,5.7037,0.3578,0.06273121,18.03486032,1.36023E-16,1.65521E+25
4,1,28.2,60.3675,-73,34,53.4,-73.5815,5.3111,0.174,0.032761575,16.07332902,5.13566E-17,4.08222E+25
4,1,8.34,60.28475,-73,35,11.4,-73.5865,5.3198,0.2309,0.043403887,16.86774901,7.82999E-17,2.6819E+25
4,0,46.8,60.195,-73,35,27.1,-73.59086111,5.4241,0.3252,0.059954647,17.88277281,1.27095E-16,1.68464E+25
4,0,26.92,60.11216667,-73,35,44.9,-73.59580556,5.712,0.3312,0.057983193,17.77208347,1.2088E-16,1.86528E+25
4,0,47.18,60.19658333,-73,33,39.4,-73.56094444,5.3659,0.2004,0.03734695,16.43376331,6.25018E-17,3.3889E+25
4,0,25.93,60.10804167,-73,34,1.6,-73.56711111,5.5513,0.2638,0.047520401,17.14064021,8.96943E-17,2.44308E+25
4,0,25.34,60.10558333,-73,32,28.1,-73.54113889,5.3907,0.2042,0.037880053,16.47373311,6.38442E-17,3.33298E+25
3,59,56.6,59.98583333,-73,29,40.9,-73.49469444,5.3407,0.2635,0.049338102,17.25629646,9.48876E-17,2.22176E+25
3,59,59.13,59.996375,-73,31,14.7,-73.52075,5.4139,0.2773,0.051220008,17.3731973,1.00366E-16,2.12928E+25
4,0,1.09,60.00454167,-73,32,43.8,-73.5455,5.6753,0.2941,0.051821049,17.40995389,1.02137E-16,2.19338E+25
4,0,6.07,60.02529167,-73,34,19.2,-73.572,5.9573,0.3018,0.050660534,17.33873466,9.87266E-17,2.3819E+25
4,0,8.61,60.035875,-73,35,32.9,-73.59247222,6.0722,0.3499,0.057623267,17.75162051,1.19756E-16,2.0015E+25
4,0,9.06,60.03775,-73,37,23.3,-73.62313889,6.0439,0.3486,0.057677989,17.75473685,1.19927E-16,1.98934E+25
