F60,RA,DEC,F100,RA.1,DEC.1,F90,RA.2,DEC.2,F140,RA.3,DEC.3
2.737241983,68.88409999,42.34136009,12.97554588,68.88409999,42.34136009,9.520853043,68.88409999,42.34136009,30.54255486,68.88409999,42.34136009
2.737241983,68.86380843,42.34130643,12.97554588,68.86380843,42.34130643,8.619078636,68.86380843,42.34130643,29.51155281,68.86380843,42.34130643
2.614012003,68.84351695,42.34124918,12.55498505,68.84351695,42.34124918,9.088392258,68.84351695,42.34124918,29.02978897,68.84351695,42.34124918
2.708102703,68.82322555,42.34118836,12.41866302,68.82322555,42.34118836,9.545236588,68.82322555,42.34118836,29.82244301,68.82322555,42.34118836
2.708102703,68.80293424,42.34112396,12.41866302,68.80293424,42.34112396,9.136842728,68.80293424,42.34112396,28.70847702,68.80293424,42.34112396
2.816044092,68.78264303,42.34105598,12.64184856,68.78264303,42.34105598,9.698271751,68.78264303,42.34105598,30.23626137,68.78264303,42.34105598
2.816044092,68.76235191,42.34098443,12.64184856,68.76235191,42.34098443,9.095263481,68.76235191,42.34098443,30.96464539,68.76235191,42.34098443
2.757004499,68.7420609,42.3409093,12.90446568,68.7420609,42.3409093,9.389838219,68.7420609,42.3409093,30.54574966,68.7420609,42.3409093
2.796117306,68.72177,42.34083059,13.24787426,68.72177,42.34083059,9.761015892,68.72177,42.34083059,30.52423477,68.72177,42.34083059
2.796117306,68.70147921,42.3407483,13.24787426,68.70147921,42.3407483,9.780469894,68.70147921,42.3407483,31.90360641,68.70147921,42.3407483
2.816537857,68.68118855,42.34066244,13.47792721,68.68118855,42.34066244,9.570920944,68.68118855,42.34066244,30.74171448,68.68118855,42.34066244
2.816537857,68.660898,42.340573,13.47792721,68.660898,42.340573,10.43021297,68.660898,42.340573,31.88673973,68.660898,42.340573
2.870121717,68.64060759,42.34047998,13.66162491,68.64060759,42.34047998,9.462769508,68.64060759,42.34047998,33.66954041,68.64060759,42.34047998
2.854145765,68.62031731,42.34038338,13.96708107,68.62031731,42.34038338,9.17296505,68.62031731,42.34038338,32.90843201,68.62031731,42.34038338
2.854145765,68.60002717,42.34028321,13.96708107,68.60002717,42.34028321,10.30956936,68.60002717,42.34028321,33.98792648,68.60002717,42.34028321
2.918449402,68.57973718,42.34017946,14.10538578,68.57973718,42.34017946,10.02486515,68.57973718,42.34017946,35.14811325,68.57973718,42.34017946
2.918449402,68.55944734,42.34007214,14.10538578,68.55944734,42.34007214,10.00160885,68.55944734,42.34007214,32.18694305,68.55944734,42.34007214
2.952805519,68.53915765,42.33996124,14.04648209,68.53915765,42.33996124,9.622075081,68.53915765,42.33996124,34.72343063,68.53915765,42.33996124
2.909095287,68.51886813,42.33984676,13.90669346,68.51886813,42.33984676,9.488443375,68.51886813,42.33984676,31.75742149,68.51886813,42.33984676
2.909095287,68.49857876,42.33972871,13.90669346,68.49857876,42.33972871,9.164586067,68.49857876,42.33972871,33.07359695,68.49857876,42.33972871
2.838148117,68.47828957,42.33960708,13.58270836,68.47828957,42.33960708,8.928361893,68.47828957,42.33960708,28.53896713,68.47828957,42.33960708
2.838148117,68.45800056,42.33948187,13.58270836,68.45800056,42.33948187,8.906691551,68.45800056,42.33948187,27.0961895,68.45800056,42.33948187
2.71813488,68.43771172,42.33935308,13.40484905,68.43771172,42.33935308,8.213017464,68.43771172,42.33935308,28.36986732,68.43771172,42.33935308
2.620263338,68.41742307,42.33922073,13.27243996,68.41742307,42.33922073,8.452315331,68.41742307,42.33922073,27.54326248,68.41742307,42.33922073
2.620263338,68.39713461,42.33908479,13.27243996,68.39713461,42.33908479,8.256186485,68.39713461,42.33908479,27.04297829,68.39713461,42.33908479
2.68560648,68.37684635,42.33894528,13.29354,68.37684635,42.33894528,8.629148483,68.37684635,42.33894528,28.33674431,68.37684635,42.33894528
2.592970371,68.35655829,42.33880219,13.02297211,68.35655829,42.33880219,8.917607307,68.35655829,42.33880219,27.62447357,68.35655829,42.33880219
2.683463097,68.33627044,42.33865553,13.48005199,68.33627044,42.33865553,9.027575493,68.33627044,42.33865553,28.72386742,68.33627044,42.33865553
